datetime,temperature
1/4/2018 21:08,26.781
1/4/2018 21:38,26.683
1/4/2018 22:08,26.585
1/4/2018 22:38,26.488
1/4/2018 23:08,26.39
1/4/2018 23:38,26.292
2/4/2018 0:08,26.195
2/4/2018 0:38,26.097
2/4/2018 1:08,26
2/4/2018 1:38,25.805
2/4/2018 2:08,25.708
2/4/2018 2:38,25.61
2/4/2018 3:08,25.513
2/4/2018 3:38,25.416
2/4/2018 4:08,25.319
2/4/2018 4:38,25.222
2/4/2018 5:08,25.125
2/4/2018 5:38,25.028
2/4/2018 6:08,24.931
2/4/2018 6:38,24.931
2/4/2018 7:08,24.835
2/4/2018 7:38,24.835
2/4/2018 8:08,24.931
2/4/2018 8:38,25.125
2/4/2018 9:08,25.319
2/4/2018 9:38,25.513
2/4/2018 10:08,25.708
2/4/2018 10:38,25.902
2/4/2018 11:08,26.097
2/4/2018 11:38,26.39
2/4/2018 12:08,26.585
2/4/2018 12:38,26.879
2/4/2018 13:08,27.075
2/4/2018 13:38,27.468
2/4/2018 14:08,27.567
2/4/2018 14:38,27.764
2/4/2018 15:08,27.961
2/4/2018 15:38,28.06
2/4/2018 16:08,28.159
2/4/2018 16:38,28.357
2/4/2018 17:08,28.456
2/4/2018 17:38,28.555
2/4/2018 18:08,28.754
2/4/2018 18:38,28.853
2/4/2018 19:08,29.053
2/4/2018 19:38,29.252
2/4/2018 20:08,29.152
2/4/2018 20:38,29.152
2/4/2018 21:08,29.152
2/4/2018 21:38,28.953
2/4/2018 22:08,28.853
2/4/2018 22:38,28.555
2/4/2018 23:08,28.258
2/4/2018 23:38,28.06
3/4/2018 0:08,27.764
3/4/2018 0:38,27.468
3/4/2018 1:08,27.272
3/4/2018 1:38,27.075
3/4/2018 2:08,26.879
3/4/2018 2:38,26.683
3/4/2018 3:08,26.488
3/4/2018 3:38,26.292
3/4/2018 4:08,26.195
3/4/2018 4:38,26
3/4/2018 5:08,25.902
3/4/2018 5:38,25.708
3/4/2018 6:08,25.61
3/4/2018 6:38,25.513
3/4/2018 7:08,25.416
3/4/2018 7:38,25.416
3/4/2018 8:08,25.513
3/4/2018 8:38,25.61
3/4/2018 9:08,25.805
3/4/2018 9:38,26.097
3/4/2018 10:08,26.292
3/4/2018 10:38,26.488
3/4/2018 11:08,26.683
3/4/2018 11:38,26.977
3/4/2018 12:08,27.272
3/4/2018 12:38,27.567
3/4/2018 13:08,27.862
3/4/2018 13:38,28.159
3/4/2018 14:08,28.456
3/4/2018 14:38,28.655
3/4/2018 15:08,28.853
3/4/2018 15:38,29.053
